x13b8wt	1 1	1 2	11 19	   introduction
x13b8yn	1 2	1 3	1 1	   molecules and ions
x13bb77	1 3	1 4	1 2	   isotopes
x13bb8k	1 4	1 5	1 3	   mass spectrpmetry
x175n4n	1 5	1 6	1 4	   empirical formula 1 tv
x175nxc	1 6	1 7	1 5	   empirical formula 2 tv
x273g46	1 7	1 8	1 6	   molecular formula
x176npl	1 8	1 9	1 7	   mole
x176jha	1 9	1 10	1 8	   avogadro s number tv
x176k2x	1 10	1 11	1 9	   molar volume
x176kxw	1 11	1 12	1 10	   stoichiometry
x176lvs	1 12	1 13	1 11	   limiting reactant
x176mfe	1 13	2 1	1 12	   limiting reactant
x13gq8f	2 1	2 1	1 13	   introduction
x16pg2l	2 1	2 2	2 1	   introduction of biochemistry and tv
x13gqf6	2 2	2 3	2 1	   filtration
x13gqvt	2 3	2 4	2 2	   crystallization
x13gs33	2 4	2 5	2 3	   sublimation solvent extraction
x13gsp2	2 5	3 1	2 4	   chromatography
x13gu5r	3 1	3 2	2 5	   properties
x13gwlq	3 2	3 3	3 1	   boyles law
x13gwlx	3 3	3 4	3 2	   chales law
x13gwm3	3 4	3 5	3 3	   gas equation
x13gwm6	3 5	3 6	3 4	   avogadros law
x13h2b9	3 6	3 7	3 5	   dalton s law
x13h75c	3 7	3 8	3 6	   graham s law
x13h2c4	3 8	3 9	3 7	   kinetic theory
x13h2ck	3 9	3 10	3 8	   temp interpretation
x13h2d8	3 10	3 11	3 9	   liquefaction
x13h772	3 11	3 12	3 10	   ideal gases
x13h77e	3 12	4 1	3 11	   plasma
x13h8ed	4 1	4 2	3 12	   introduction
x13h8en	4 2	4 3	4 1	   hydrogen bonding
x13h8fc	4 3	4 4	4 2	   evaporation
x13h8fn	4 4	4 5	4 3	   boiling point
x13h8g5	4 5	4 6	4 4	   liquid crystals
x13hbi1	4 6	4 7	4 5	   solids introduction
x13hbj9	4 7	4 8	4 6	   crystal lattice
x13hc14	4 8	4 9	4 7	   classification of solids
x137zs1	4 9	4 10	4 8	   covalent solids
x138upe	4 10	4 11	4 9	   molecular solids
x138yws	4 11	4 12	4 10	   metallic solids part 1
x1398zw	4 12	4 13	4 11	   metallic solids part 2
x139ah4	4 13	5 1	4 12	   determination of avogadros number
x139b7t	5 1	5 2	4 13	   introduction
x139iqv	5 2	5 3	5 1	   discovery of electron
x13dls2	5 3	5 4	5 2	   discovery of proton tv
x13dp87	5 4	5 5	5 3	   discovery of neutron tv
x13dqat	5 5	5 6	5 4	   determination of e m of electron tv
x13ds1d	5 6	5 7	5 5	   millikan oil drop method tv
x13fr04	5 7	5 8	5 6	   rutherford atomic model tv
x13fsdm	5 8	5 9	5 7	   planck s quantun theory tv
x13g1go	5 9	5 10	5 8	   bohr atomic model part 1 tv
x13g3op	5 10	5 11	5 9	   bohr atomic model part 2 tv
x13heh5	5 11	5 12	5 10	   spectrum tv
x13hq68	5 12	5 13	5 11	   hydrogen spectrum tv
x13huwr	5 13	5 14	5 12	   defects of bohr atomic model tv
x13rjlf	5 14	5 15	5 13	   x rays tv
x13rlu2	5 15	5 16	5 14	   dual nature of matter tv
x13rnwc	5 16	5 17	5 15	   experimental verification of dual nature tv
x13rqim	5 17	5 18	5 16	   heisenberg s uncertainity principle tv
x13rrho	5 18	5 19	5 17	   concept of orbital tv
x13sgps	5 19	5 20	5 18	   quantum numbers tv
x13shca	5 20	5 21	5 19	   principal quantum number tv
x13tvpj	5 21	5 22	5 20	   azimuthal quantum number tv
x13u18h	5 22	5 23	5 21	   magnetic quantum number tv
x13u3zu	5 23	5 24	5 22	   spin quantum number tv
x13u5qp	5 24	5 25	5 23	   shapes of orbitals tv
x13u87w	5 25	6 1	5 24	   electronic distribution tv
x158i7u	6 1	6 2	5 25	   introduction tv
x158ij7	6 2	6 3	6 1	   causes of chemical bonding tv
x1595ql	6 3	6 4	6 2	   energetics of bond formation tv
x1596ik	6 4	6 5	6 3	   atomic sizes tv
x1597fz	6 5	6 6	6 4	   ionic radii tv
x16qmdh	6 6	6 6	6 5	   covalent radii tv
x2rxjb5	6 6	6 7	6 6	   covalent radii
x16qmic	6 7	6 8	6 6	   ionization energy tv
x16qmpm	6 8	6 9	6 7	   higher ionization energy tv
x16qmui	6 9	6 10	6 8	   electron affinity tv
x16shc2	6 10	6 11	6 9	   electronegativity tv
x16shxl	6 11	6 12	6 10	   ionic bond tv
x16sicv	6 12	6 13	6 11	   covalent bond tv
x16yuw4	6 13	6 14	6 12	   coordinate covalent bond tv
x16yvsr	6 14	6 15	6 13	   limitations of lewis model tv
x16ywfj	6 15	6 16	6 14	   vsepr 1 tv
x16yxff	6 16	6 17	6 15	   vsepr 2 tv
x16z099	6 17	6 18	6 16	   valence bond theory tv
x175ost	6 18	6 19	6 17	   atomic orbital hybridization tv
x175p3r	6 19	6 20	6 18	   sp3 hybridization
