x16qi4d	1 1	1 2	14 3	   introduction to number systems
x16qikx	1 2	1 3	1 1	   properties of real numbers part 1
x16qixg	1 3	1 4	1 2	   properties of real numbers part 2
x16qj64	1 4	1 5	1 3	   properties of real numbers part 3
x16qk2d	1 5	1 6	1 4	   properties of real numbers part 4
x16q36h	1 6	1 7	1 5	   exercise 1
x2nbtrk	1 7	1 8	1 6	   introduction to complex numbers
x2ndp48	1 8	1 9	1 7	   operations on complex numbers
x2ndp4g	1 9	1 10	1 8	   complex numbers as ordered pairs of real numbers
x2ndp4m	1 10	1 11	1 9	   properties of the fundamental operations on complex numbers
x2nfgan	1 11	1 12	1 10	   exercise questions 1 3
x2nny38	1 12	1 13	1 11	   exercise questions 4 5
x2nnzcd	1 13	1 14	1 12	   exercise questions 6 12
x2no0i4	1 14	1 15	1 13	   exercise questions 13 16
x2no4sm	1 15	1 16	1 14	   the real line
x2no4su	1 16	1 17	1 15	   the real plane or coordinate plane
x2no5zu	1 17	1 18	1 16	   the complex plane
x2no8xt	1 18	1 19	1 17	   exercise questions 1 3
x2noaru	1 19	2 1	1 18	   exercise questions 4 7
x1xgbz8	2 1	2 2	1 19	   intro 1
x1xgc1r	2 2	2 3	2 1	   intro 2
x1xgj7q	2 3	2 4	2 2	   intro 3
x1xl59x	2 4	2 5	2 3	   exercise questions 1
x1xl5bo	2 5	2 6	2 4	   exercise questions 2 3
x1xl5cr	2 6	2 7	2 5	   exercise questions 4 8
x1xgpp3	2 7	2 8	2 6	   exercise questions 9 10
x1xkj14	2 8	2 9	2 7	   operations on sets
x1xgruv	2 9	2 10	2 8	   9 venn diagrams
x1xgusj	2 10	2 11	2 9	   exercise questions 1 4
x1xgvzl	2 11	2 12	2 10	   exercise questions 5 6
x1xgjav	2 12	2 13	2 11	   properties of union and intersection
x1xgnch	2 13	2 14	2 12	   de morgan s laws
x1xgyeh	2 14	2 15	2 13	   exercise questions 1 2
x1xgyqa	2 15	2 16	2 14	   exercise questions 3 9
x1xgpm8	2 16	2 17	2 15	   symbolic logic
x1xkj1u	2 17	2 18	2 16	   conditional and biconditional
x1xkj2u	2 18	2 19	2 17	   tautalogy absurdity and quantifiers
x2w5sow	2 19	2 20	2 18	   exercise questions 1 5
x1xkj4y	2 20	2 21	2 19	   truth sets
x1xh5n4	2 21	2 22	2 20	   exercise questions 1 4
x1xks83	2 22	2 23	2 21	   relations
x1xl3ed	2 23	2 24	2 22	   functions
x1xl54h	2 24	2 25	2 23	   types of functions
x1xh5os	2 25	2 26	2 24	   exercise questions 1 3
x1xh6f5	2 26	2 27	2 25	   exercise questions 4
x2w5s2r	2 27	2 28	2 26	   binary operations
x2vdxbb	2 28	3 1	2 27	   groups
x19c9mo	3 1	3 2	2 28	   intro 1
x19c9p1	3 2	3 3	3 1	   intro 2
x19ltoo	3 3	3 4	3 2	   intro 3
